relationship_id,slide_number,connector_object_id,source_object_id,target_object_id,relationship_type,source_endpoint,target_endpoint,confidence,label_text,notes
S001_REL_0001,1,S001_OBJ_0031,S001_OBJ_0003,S001_OBJ_0004,connector_flow,"1.4,1.45","4.65,2.0",0.0,,source_distance_exceeds_threshold;target_distance_exceeds_threshold
S001_REL_0002,1,S001_OBJ_0032,S001_OBJ_0002,S001_OBJ_0004,connector_flow,"3.65,1.45","4.65,2.0",0.429,,target_distance_exceeds_threshold
S001_REL_0003,1,S001_OBJ_0033,S001_OBJ_0002,S001_OBJ_0005,connector_flow,"4.65,1.45","5.9,2.0",1.0,,
S001_REL_0004,1,S001_OBJ_0034,S001_OBJ_0002,S001_OBJ_0006,connector_flow,"4.65,1.45","7.9,2.0",1.0,,
S001_REL_0005,1,S001_OBJ_0035,S001_OBJ_0003,S001_OBJ_0008,connector_flow,"0.775,2.6","1.4,3.25",0.893,,
S001_REL_0006,1,S001_OBJ_0036,S001_OBJ_0003,S001_OBJ_0008,connector_flow,"1.4,2.6","1.875,3.25",1.0,1.2 | Wings,
S001_REL_0007,1,S001_OBJ_0037,S001_OBJ_0004,S001_OBJ_0010,connector_flow,"2.975,2.6","3.65,3.25",0.893,,
S001_REL_0008,1,S001_OBJ_0038,S001_OBJ_0004,S001_OBJ_0010,connector_flow,"3.65,2.6","4.075,3.25",1.0,2.2 | Fuel | System,
S001_REL_0009,1,S001_OBJ_0039,S001_OBJ_0005,S001_OBJ_0012,connector_flow,"5.275,2.6","5.9,3.25",0.893,,
S001_REL_0010,1,S001_OBJ_0040,S001_OBJ_0005,S001_OBJ_0012,connector_flow,"5.9,2.6","6.375,3.25",1.0,3.2 | Navigation,
S001_REL_0011,1,S001_OBJ_0041,S001_OBJ_0006,S001_OBJ_0013,connector_flow,"7.475,2.6","7.9,3.25",1.0,4.1 | Electrical,
S001_REL_0012,1,S001_OBJ_0042,S001_OBJ_0006,S001_OBJ_0014,connector_flow,"7.9,2.6","8.575,3.25",1.0,,
S001_REL_0013,1,S001_OBJ_0043,S001_OBJ_0007,S001_OBJ_0015,connector_flow,"0.7,3.8","0.775,4.4",1.0,1.1 | Fuselage | 1.1.1 | Nose | Section,
S001_REL_0014,1,S001_OBJ_0044,S001_OBJ_0007,S001_OBJ_0016,connector_flow,"0.7,3.8","0.775,5.25",1.0,1.1.1 | Nose | Section,
S001_REL_0015,1,S001_OBJ_0045,S001_OBJ_0008,S001_OBJ_0017,connector_flow,"1.8,3.8","1.875,4.4",1.0,1.2 | Wings | 1.2.1 | Left Wing,
S001_REL_0016,1,S001_OBJ_0046,S001_OBJ_0008,S001_OBJ_0018,connector_flow,"1.8,3.8","1.875,5.25",1.0,1.2.1 | Left Wing,
S001_REL_0017,1,S001_OBJ_0047,S001_OBJ_0009,S001_OBJ_0019,connector_flow,"2.9,3.8","2.975,4.4",1.0,2.1 | Engine | 2.1.1 | Core | Engine,
S001_REL_0018,1,S001_OBJ_0048,S001_OBJ_0009,S001_OBJ_0020,connector_flow,"2.9,3.8","2.975,5.25",1.0,2.1.1 | Core | Engine,
S001_REL_0019,1,S001_OBJ_0049,S001_OBJ_0010,S001_OBJ_0021,connector_flow,"4.0,3.8","4.075,4.4",1.0,2.2 | Fuel | System | 2.2.1 | Tanks,
S001_REL_0020,1,S001_OBJ_0050,S001_OBJ_0010,S001_OBJ_0022,connector_flow,"4.0,3.8","4.075,5.25",1.0,2.2.1 | Tanks,
S001_REL_0021,1,S001_OBJ_0051,S001_OBJ_0011,S001_OBJ_0023,connector_flow,"5.2,3.8","5.275,4.4",1.0,3.1 | Flight | Control | 3.1.1 | FCC,
S001_REL_0022,1,S001_OBJ_0052,S001_OBJ_0011,S001_OBJ_0024,connector_flow,"5.2,3.8","5.275,5.25",1.0,3.1.1 | FCC,
S001_REL_0023,1,S001_OBJ_0053,S001_OBJ_0012,S001_OBJ_0025,connector_flow,"6.3,3.8","6.375,4.4",1.0,3.2 | Navigation | 3.2.1 | GPS,
S001_REL_0024,1,S001_OBJ_0054,S001_OBJ_0012,S001_OBJ_0026,connector_flow,"6.3,3.8","6.375,5.25",1.0,3.2.1 | GPS,
S001_REL_0025,1,S001_OBJ_0055,S001_OBJ_0013,S001_OBJ_0027,connector_flow,"7.4,3.8","7.475,4.4",1.0,4.1 | Electrical | 4.1.1 | Power | Dist.,
S001_REL_0026,1,S001_OBJ_0056,S001_OBJ_0013,S001_OBJ_0028,connector_flow,"7.4,3.8","7.475,5.25",1.0,4.1.1 | Power | Dist.,
S001_REL_0027,1,S001_OBJ_0057,S001_OBJ_0014,S001_OBJ_0029,connector_flow,"8.5,3.8","8.575,4.4",1.0,4.2 | Environmental | 4.2.1 | HVAC,
S001_REL_0028,1,S001_OBJ_0058,S001_OBJ_0014,S001_OBJ_0030,connector_flow,"8.5,3.8","8.575,5.25",1.0,4.2.1 | HVAC,
